Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
wayaapamaawaakwen,"they (anim.) must be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must be seeing them(sing.)
waapamaawaappan,"they (anim.) saw him/her, them (obv.)",3p→3' TA Conjunct Preterit,they(plur.) saw them(sing.)
waapamaawaat,"they (anim.) see him/her, them (obv.)",3p→3' TA Conjunct Indicative,they(plur.) see them(sing.)
inentamaampaan,"I thought so of it, them (inan.)",1s→0 TI1 Conjunct Preterit,I thought so of it
inentamaan,"I think so of it, them (inan.)",1s→0 TI1 Conjunct Indicative,I think so of it
inentamaank,"we (excl.) think so of it, them (inan.)",1p→0 TI1 Conjunct Indicative,we think so of it
inentamaankipan,"we (excl.) thought so of it, them (inan.)",1p→0 TI1 Conjunct Preterit,we thought so of it
inentamampan,"you (sg.) thought so of it, them (inan.)",2s→0 TI1 Conjunct Preterit,you thought so of it
inentaman,"you (sg.) think so of it, them (inan.)",2s→0 TI1 Conjunct Indicative,you think so of it
inentamank,"we (incl.) think so of it, them (inan.)",21→0 TI1 Conjunct Indicative,we think so of it
inentamankipan,"we (incl.) thought so of it, them (inan.)",21→0 TI1 Conjunct Preterit,we thought so of it
inentamek,"you (pl.) think so of it, them (inan.)",2p→0 TI1 Conjunct Indicative,you think so of it
inentamekipan,"you (pl.) thought so of it, them (inan.)",2p→0 TI1 Conjunct Preterit,you thought so of it
waapantaminikopan,"s/he, they (obv.) must have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(plur.) must have seen it
waapantaminikopan,"s/he, they (obv.) must have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(sing.) must have seen it
inentaminikopanen,"s/he, they (obv.) must have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(plur.) must have thought so of it
inentaminikopanen,"s/he, they (obv.) must have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(sing.) must have thought so of it
enentaminikwen,"s/he, they (obv.) must think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(plur.) must think so of it
enentaminikwen,"s/he, they (obv.) must think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(sing.) must think so of it
inentaminippan,"s/he, they (obv.) thought so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,they(plur.) thought so of it
inentaminippan,"s/he, they (obv.) thought so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,they(sing.) thought so of it
inentaminit,"s/he, they (obv.) think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,they(plur.) think so of it
inentaminit,"s/he, they (obv.) think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,they(sing.) think so of it
inentamink,"people think so of it, them (inan.)",X→0 TI1 Conjunct Indicative,people think so of it
inentaminkipan,"people thought so of it, them (inan.)",X→0 TI1 Conjunct Preterit,people thought so of it
waapantamokopan,"s/he must have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,they(sing.) must have seen it
inentamokopanen,"s/he must have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,they(sing.) must have thought so of it
waapantamokwaapan,"they (anim.) must have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit,they(plur.) must have seen it
enentamokwen,"s/he must think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,they(sing.) must think so of it
inentamowaakopanen,"they (anim.) must have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit,they(plur.) must have thought so of it
enentamowaakwen,"they (anim.) must think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative,they(plur.) must think so of it
inentamowaampaanen,"I must have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,I must have thought so of it
enentamowaanen,"I must think so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative,I must think so of it
enentamowaanken,"we (excl.) must think so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative,we must think so of it
inentamowaankipanen,"we (excl.) must have thought so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative Preterit,we must have thought so of it
inentamowaappan,"they (anim.) thought so of it, them (inan.)",3p→0 TI1 Conjunct Preterit,they(plur.) thought so of it
inentamowaat,"they (anim.) think so of it, them (inan.)",3p→0 TI1 Conjunct Indicative,they(plur.) think so of it
inentamowampanen,"you (sg.) must have thought so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative Preterit,you must have thought so of it
enentamowanen,"you (sg.) must think so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative,you must think so of it
enentamowanken,"we (incl.) must think so of it, them (inan.)",21→0 TI1 Conjunct Dubitative,we must think so of it
inentamowankipanen,"we (incl.) must have thought so of it, them (inan.)",21→0 TI1 Conjunct Dubitative Preterit,we must have thought so of it
inentamowekipanen,"you (pl.) must have thought so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative Preterit,you must have thought so of it
enentamowekwen,"you (pl.) must think so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative,you must think so of it
enentamowiinken,"people must think so of it, them (inan.)",X→0 TI1 Conjunct Dubitative,people must think so of it
inentamowiinkipanen,"people must have thought so of it, them (inan.)",X→0 TI1 Conjunct Dubitative Preterit,people must have thought so of it
inentank,"s/he thinks so of it, them (inan.)",3s→0 TI1 Conjunct Indicative,FLAGthey(sing.) thinks so of it
inentankipan,"s/he thought so of it, them (inan.)",3s→0 TI1 Conjunct Preterit,they(sing.) thought so of it
waapantansiikopan,"s/he must not have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,they(sing.) must not have seen it
inentansiikopanen,"s/he must not have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,they(sing.) must not have thought so of it
waapantansiikwaapan,"they (anim.) must not have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit,they(plur.) must not have seen it
enentansiikwen,"s/he must not think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,they(sing.) must not think so of it
waapantansiinikopan,"s/he, they (obv.) must not have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(plur.) must not have seen it
waapantansiinikopan,"s/he, they (obv.) must not have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(sing.) must not have seen it
inentansiinikopanen,"s/he, they (obv.) must not have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(plur.) must not have thought so of it
inentansiinikopanen,"s/he, they (obv.) must not have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(sing.) must not have thought so of it
enentansiinikwen,"s/he, they (obv.) must not think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(plur.) must not think so of it
enentansiinikwen,"s/he, they (obv.) must not think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(sing.) must not think so of it
inentansiiwaakopanen,"they (anim.) must not have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit,they(plur.) must not have thought so of it
enentansiiwaakwen,"they (anim.) must not think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative,they(plur.) must not think so of it
inentansiiwaampaanen,"I must not have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,I must not have thought so of it
enentansiiwaanen,"I must not think so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative,I must not think so of it
enentansiiwaanken,"we (excl.) must not think so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative,we must not think so of it
inentansiiwaankipanen,"we (excl.) must not have thought so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative Preterit,we must not have thought so of it
inentansiiwampanen,"you (sg.) must not have thought so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative Preterit,you must not have thought so of it
enentansiiwanen,"you (sg.) must not think so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative,you must not think so of it
enentansiiwanken,"we (incl.) must not think so of it, them (inan.)",21→0 TI1 Conjunct Dubitative,we must not think so of it
inentansiiwankipanen,"we (incl.) must not have thought so of it, them (inan.)",21→0 TI1 Conjunct Dubitative Preterit,we must not have thought so of it
inentansiiwekipanen,"you (pl.) must not have thought so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative Preterit,you must not have thought so of it
enentansiiwekwen,"you (pl.) must not think so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative,you must not think so of it
enentansiiwiinken,"people must not think so of it, them (inan.)",X→0 TI1 Conjunct Dubitative,people must not think so of it
inentansiiwiinkipanen,"people must not have thought so of it, them (inan.)",X→0 TI1 Conjunct Dubitative Preterit,people must not have thought so of it
inentansik,"s/he does not think so of it, them (inan.)",3s→0 TI1 Conjunct Indicative,FLAGthey(sing.) does not think so of it
inentansikopan,"s/he did not think so of it, them (inan.)",3s→0 TI1 Conjunct Preterit,they(sing.) did not think so of it
inentansikwaa,"they (anim.) do not think so of it, them (inan.)",3p→0 TI1 Conjunct Indicative,they(plur.) do not think so of it
inentansikwaapan,"they (anim.) did not think so of it, them (inan.)",3p→0 TI1 Conjunct Preterit,they(plur.) did not think so of it
inentansinik,"s/he, they (obv.) do not think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,they(plur.) do not think so of it
inentansinik,"s/he, they (obv.) do not think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,they(sing.) do not think so of it
inentansinikopan,"s/he, they (obv.) did not think so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,they(plur.) did not think so of it
inentansinikopan,"s/he, they (obv.) did not think so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,they(sing.) did not think so of it
inentansink,"people do not think so of it, them (inan.)",X→0 TI1 Conjunct Indicative,people do not think so of it
inentansinkipan,"people did not think so of it, them (inan.)",X→0 TI1 Conjunct Preterit,people did not think so of it
inentansiwaampaan,"I did not think so of it, them (inan.)",1s→0 TI1 Conjunct Preterit,I did not think so of it
inentansiwaan,"I do not think so of it, them (inan.)",1s→0 TI1 Conjunct Indicative,I do not think so of it
inentansiwaank,"we (excl.) do not think so of it, them (inan.)",1p→0 TI1 Conjunct Indicative,we do not think so of it
inentansiwaankipan,"we (excl.) did not think so of it, them (inan.)",1p→0 TI1 Conjunct Preterit,we did not think so of it
inentansiwampan,"you (sg.) did not think so of it, them (inan.)",2s→0 TI1 Conjunct Preterit,you did not think so of it
inentansiwan,"you (sg.) do not think so of it, them (inan.)",2s→0 TI1 Conjunct Indicative,you do not think so of it
inentansiwank,"we (incl.) do not think so of it, them (inan.)",21→0 TI1 Conjunct Indicative,we do not think so of it
inentansiwankipan,"we (incl.) did not think so of it, them (inan.)",21→0 TI1 Conjunct Preterit,we did not think so of it
inentansiwek,"you (pl.) do not think so of it, them (inan.)",2p→0 TI1 Conjunct Indicative,you do not think so of it
inentansiwekipan,"you (pl.) did not think so of it, them (inan.)",2p→0 TI1 Conjunct Preterit,you did not think so of it
waapamikonikopanen,"it, they (inan.) must have seen him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(sing.)
waapamikonikopanen,"it, they (inan.) must have seen him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,it must have seen them(sing.)
noontaakonikopanen,"it, they (inan.) must have heard him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,they(plur.) must have heard them(sing.)
noontaakonikopanen,"it, they (inan.) must have heard him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,it must have heard them(sing.)
pakkitte'okonikopanen,"it, they (inan.) must have hit him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,they(plur.) must have hit them(sing.)
pakkitte'okonikopanen,"it, they (inan.) must have hit him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,it must have hit them(sing.)
wayaapamikonikwen,"it, they (inan.) must be seeing him/her, them (obv.)",0→3' TA Conjunct Dubitative,they(plur.) must be seeing them(sing.)
wayaapamikonikwen,"it, they (inan.) must be seeing him/her, them (obv.)",0→3' TA Conjunct Dubitative,it must be seeing them(sing.)
nwaantaakonikwen,"it, they (inan.) must be hearing him/her, them (obv.)",0→3' TA Conjunct Dubitative,they(plur.) must be hearing them(sing.)
nwaantaakonikwen,"it, they (inan.) must be hearing him/her, them (obv.)",0→3' TA Conjunct Dubitative,it must be hearing them(sing.)
pekkitte'okonikwen,"it, they (inan.) must be hitting him/her, them (obv.)",0→3' TA Conjunct Dubitative,they(plur.) must be hitting them(sing.)
pekkitte'okonikwen,"it, they (inan.) must be hitting him/her, them (obv.)",0→3' TA Conjunct Dubitative,it must be hitting them(sing.)
waapamikonippan,"it, they (inan.) saw him/her, them (obv.)",0→3' TA Conjunct Preterit,they(plur.) saw them(sing.)
waapamikonippan,"it, they (inan.) saw him/her, them (obv.)",0→3' TA Conjunct Preterit,it saw them(sing.)
noontaakonippan,"it, they (inan.) heard him/her, them (obv.)",0→3' TA Conjunct Preterit,they(plur.) heard them(sing.)
noontaakonippan,"it, they (inan.) heard him/her, them (obv.)",0→3' TA Conjunct Preterit,it heard them(sing.)
pakkitte'okonippan,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Conjunct Preterit,they(plur.) hit them(sing.)
pakkitte'okonippan,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Conjunct Preterit,it hit them(sing.)
waapamikonit,"it, they (inan.) see him/her, them (obv.)",0→3' TA Conjunct Indicative,they(plur.) see them(sing.)
waapamikonit,"it, they (inan.) see him/her, them (obv.)",0→3' TA Conjunct Indicative,FLAGit see them(sing.)
noontaakonit,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Conjunct Indicative,they(plur.) hear them(sing.)
noontaakonit,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Conjunct Indicative,FLAGit hear them(sing.)
pakkitte'okonit,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Conjunct Indicative,they(plur.) hit them(sing.)
pakkitte'okonit,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Conjunct Indicative,FLAGit hit them(sing.)
waapamikossiinikopanen,"it, they (inan.) must not have seen him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,they(plur.) must not have seen them(sing.)
waapamikossiinikopanen,"it, they (inan.) must not have seen him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,it must not have seen them(sing.)
noontaakossiinikopanen,"it, they (inan.) must not have heard him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,they(plur.) must not have heard them(sing.)
noontaakossiinikopanen,"it, they (inan.) must not have heard him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,it must not have heard them(sing.)
pakkitte'okossiinikopanen,"it, they (inan.) must not have hit him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,they(plur.) must not have hit them(sing.)
pakkitte'okossiinikopanen,"it, they (inan.) must not have hit him/her, them (obv.)",0→3' TA Conjunct Dubitative Preterit,it must not have hit them(sing.)
wayaapamikossiinikwen,"it, they (inan.) must not be seeing him/her, them (obv.)",0→3' TA Conjunct Dubitative,they(plur.) must not be seeing them(sing.)
wayaapamikossiinikwen,"it, they (inan.) must not be seeing him/her, them (obv.)",0→3' TA Conjunct Dubitative,it must not be seeing them(sing.)
nwaantaakossiinikwen,"it, they (inan.) must not be hearing him/her, them (obv.)",0→3' TA Conjunct Dubitative,they(plur.) must not be hearing them(sing.)
nwaantaakossiinikwen,"it, they (inan.) must not be hearing him/her, them (obv.)",0→3' TA Conjunct Dubitative,it must not be hearing them(sing.)
pekkitte'okossiinikwen,"it, they (inan.) must not be hitting him/her, them (obv.)",0→3' TA Conjunct Dubitative,they(plur.) must not be hitting them(sing.)
pekkitte'okossiinikwen,"it, they (inan.) must not be hitting him/her, them (obv.)",0→3' TA Conjunct Dubitative,it must not be hitting them(sing.)
waapamikossinik,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Conjunct Indicative,they(plur.) do not see them(sing.)
waapamikossinik,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Conjunct Indicative,FLAGit do not see them(sing.)
noontaakossinik,"it, they (inan.) do not hear him/her, them (obv.)",0→3' TA Conjunct Indicative,they(plur.) do not hear them(sing.)
noontaakossinik,"it, they (inan.) do not hear him/her, them (obv.)",0→3' TA Conjunct Indicative,FLAGit do not hear them(sing.)
pakkitte'okossinik,"it, they (inan.) do not hit him/her, them (obv.)",0→3' TA Conjunct Indicative,they(plur.) do not hit them(sing.)
pakkitte'okossinik,"it, they (inan.) do not hit him/her, them (obv.)",0→3' TA Conjunct Indicative,FLAGit do not hit them(sing.)
waapamikossinikopan,"it, they (inan.) did not see him/her, them (obv.)",0→3' TA Conjunct Preterit,they(plur.) did not see them(sing.)
waapamikossinikopan,"it, they (inan.) did not see him/her, them (obv.)",0→3' TA Conjunct Preterit,it did not see them(sing.)
noontaakossinikopan,"it, they (inan.) did not hear him/her, them (obv.)",0→3' TA Conjunct Preterit,they(plur.) did not hear them(sing.)
noontaakossinikopan,"it, they (inan.) did not hear him/her, them (obv.)",0→3' TA Conjunct Preterit,it did not hear them(sing.)
pakkitte'okossinikopan,"it, they (inan.) did not hit him/her, them (obv.)",0→3' TA Conjunct Preterit,they(plur.) did not hit them(sing.)
pakkitte'okossinikopan,"it, they (inan.) did not hit him/her, them (obv.)",0→3' TA Conjunct Preterit,it did not hit them(sing.)
waapamimaapanen,"people saw him/her, them (obv.)",X→3' TA Independent Preterit,people saw them(sing.)
waapamimaassiipanen,"people did not see him/her, them (obv)",X→3' TA Independent Preterit,people did not see them(sing.)
waapamimaassiitokenan,"people must not be seeing him/her, them (obv.)",X→3' TA Independent Dubitative,people must not be seeing them(sing.)
wayaapamimaassiiwaken,"I must not be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must not be seeing them(sing.)
waapamimaassiiwakipanen,"I must not have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must not have seen them(sing.)
waapamimaassiiwan,"people do not see him/her, them (obv.)",X→3' TA Independent Indicative,people do not see them(sing.)
wayaapamimaassiiwanken,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must not be seeing them(sing.)
waapamimaassiiwankipanen,"we (excl.) must not have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
waapamimaassiiwankipanen,"we (incl.) must not have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
wayaapamimaassiiwankiten,"we (excl.) must not be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must not be seeing them(sing.)
wayaapamimaassiiwaten,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must not be seeing them(sing.)
waapamimaassiiwatipanen,"you (sg.) must not have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
waapamimaassiiwekipanen,"you (pl.) must not have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
wayaapamimaassiiwekwen,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must not be seeing them(sing.)
wayaapamimaassiiwinten,"people must not be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must not be seeing them(sing.)
waapamimaassiiwintipanen,"people must not have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must not have seen them(sing.)
wayaapamimaassiwaawaken,"I must not be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must not be seeing them(sing.)
waapamimaassiwaawakipanen,"I must not have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must not have seen them(sing.)
wayaapamimaassiwaawanken,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must not be seeing them(sing.)
waapamimaassiwaawankipanen,"we (excl.) must not have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
waapamimaassiwaawankipanen,"we (incl.) must not have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
wayaapamimaassiwaawankiten,"we (excl.) must not be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must not be seeing them(sing.)
wayaapamimaassiwaawaten,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must not be seeing them(sing.)
waapamimaassiwaawatipanen,"you (sg.) must not have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
waapamimaassiwaawekipanen,"you (pl.) must not have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
wayaapamimaassiwaawekwen,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must not be seeing them(sing.)
wayaapamimaassiwaawinten,"people must not be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must not be seeing them(sing.)
waapamimaassiwaawintipanen,"people must not have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must not have seen them(sing.)
waapamimaassiwak,"I do not see him/her, them (obv.)",1s→3' TA Conjunct Indicative,I do not see them(sing.)
waapamimaassiwakipan,"I did not see him/her, them (obv.)",1s→3' TA Conjunct Preterit,I did not see them(sing.)
waapamimaassiwank,"we (incl.) do not see him/her, them (obv.)",21→3' TA Conjunct Indicative,we do not see them(sing.)
waapamimaassiwankipan,"we (incl.) did not see him/her, them (obv.)",21→3' TA Conjunct Preterit,we did not see them(sing.)
waapamimaassiwankit,"we (excl.) do not see him/her, them (obv.)",1p→3' TA Conjunct Indicative,we do not see them(sing.)
waapamimaassiwankitipan,"we (excl.) did not see him/her, them (obv.)",1p→3' TA Conjunct Preterit,we did not see them(sing.)
waapamimaassiwat,"you (sg.) do not see him/her, them (obv.)",2s→3' TA Conjunct Indicative,you do not see them(sing.)
waapamimaassiwatipan,"you (sg.) did not see him/her, them (obv.)",2s→3' TA Conjunct Preterit,you did not see them(sing.)
waapamimaassiwek,"you (pl.) do not see him/her, them (obv.)",2p→3' TA Conjunct Indicative,you do not see them(sing.)
waapamimaassiwekipan,"you (pl.) did not see him/her, them (obv.)",2p→3' TA Conjunct Preterit,you did not see them(sing.)
waapamimaassiwint,"people do not see him/her, them (obv.)",X→3' TA Conjunct Indicative,people do not see them(sing.)
waapamimaassiwintipan,"people did not see him/her, them (obv.)",X→3' TA Conjunct Preterit,people did not see them(sing.)
waapamimaatokenan,"people must be seeing him/her, them (obv.)",X→3' TA Independent Dubitative,people must be seeing them(sing.)
wayaapamimaawaken,"I must be seeing him/her, them (obv.)",1s→3' TA Conjunct Dubitative,I must be seeing them(sing.)
waapamimaawakipanen,"I must have seen him/her, them (obv.)",1s→3' TA Conjunct Dubitative Preterit,I must have seen them(sing.)
waapamimaawan,"people see him/her, them (obv.)",X→3' TA Independent Indicative,people see them(sing.)
wayaapamimaawanken,"we (incl.) must be seeing him/her, them (obv.)",21→3' TA Conjunct Dubitative,we must be seeing them(sing.)
waapamimaawankipanen,"we (incl.) must have seen him/her, them (obv.)",21→3' TA Conjunct Dubitative Preterit,we must have seen them(sing.)
wayaapamimaawankiten,"we (excl.) must be seeing him/her, them (obv.)",1p→3' TA Conjunct Dubitative,we must be seeing them(sing.)
waapamimaawankitipanen,"we (excl.) must have seen him/her, them (obv.)",1p→3' TA Conjunct Dubitative Preterit,we must have seen them(sing.)
