No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
60,maacaayankipan,we (incl.) left,21 AI Conjunct Preterit,we left
61,waniššinankipan,we (incl.) were lost,21 AI Conjunct Preterit,we were lost
62,maacaayek,you (pl.) leave,2p AI Conjunct Indicative,you leave
63,waniššinek,you (pl.) are lost,2p AI Conjunct Indicative,you are lost
64,maacaayekipan,you (pl.) left,2p AI Conjunct Preterit,you left
65,waniššinekipan,you (pl.) were lost,2p AI Conjunct Preterit,you were lost
66,waapamaa,people see him/her,X→3s TA Independent Indicative,people see them(sing.)
67,waapamaakopanen,"s/he must have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(sing.)
68,waapamaakopanen,"s/he must have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(plur.)
69,wayaapamaakwen,"s/he must be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,they(sing.) must be seeing them(sing.)
70,wayaapamaakwen,"s/he must be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,they(sing.) must be seeing them(plur.)
71,waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(sing.)
72,waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(plur.)
73,waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(sing.)
74,waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(plur.)
75,wayaapamaanikwen,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(plur.) must be seeing them(sing.)
76,wayaapamaanikwen,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(plur.) must be seeing them(plur.)
77,wayaapamaanikwen,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(sing.) must be seeing them(sing.)
78,wayaapamaanikwen,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(sing.) must be seeing them(plur.)
79,waapamaanippan,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(plur.) saw them(sing.)
80,waapamaanippan,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(plur.) saw them(plur.)
81,waapamaanippan,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(sing.) saw them(sing.)
82,waapamaanippan,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(sing.) saw them(plur.)
83,waapamaanit,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(plur.) see them(sing.)
84,waapamaanit,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(plur.) see them(plur.)
85,waapamaanit,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(sing.) see them(sing.)
86,waapamaanit,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(sing.) see them(plur.)
87,waapamaapan,people saw him/her,X→3s TA Independent Preterit,people saw them(sing.)
88,waapamaapanek,people saw them (anim.),X→3p TA Independent Preterit,people saw them(plur.)
89,waapamaappan,"s/he saw him/her, them (obv.)",3s→3' TA Conjunct Preterit,they(sing.) saw them(sing.)
90,waapamaappan,"s/he saw him/her, them (obv.)",3s→3' TA Conjunct Preterit,they(sing.) saw them(plur.)
91,waapamaassiikopanen,"s/he must not have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,they(sing.) must not have seen them(sing.)
92,waapamaassiikopanen,"s/he must not have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,they(sing.) must not have seen them(plur.)
93,wayaapamaassiikwen,"s/he must not be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,they(sing.) must not be seeing them(sing.)
94,wayaapamaassiikwen,"s/he must not be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,they(sing.) must not be seeing them(plur.)
95,waapamaassiin,people do not see him/her,X→3s TA Independent Indicative,people do not see them(sing.)
96,waapamaassiinikopanen,"s/he, they (obv.) must not have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(plur.) must not have seen them(sing.)
97,waapamaassiinikopanen,"s/he, they (obv.) must not have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(plur.) must not have seen them(plur.)
98,waapamaassiinikopanen,"s/he, they (obv.) must not have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(sing.) must not have seen them(sing.)
99,waapamaassiinikopanen,"s/he, they (obv.) must not have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(sing.) must not have seen them(plur.)
100,wayaapamaassiinikwen,"s/he, they (obv.) must not be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(plur.) must not be seeing them(sing.)
101,wayaapamaassiinikwen,"s/he, they (obv.) must not be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(plur.) must not be seeing them(plur.)
102,wayaapamaassiinikwen,"s/he, they (obv.) must not be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(sing.) must not be seeing them(sing.)
103,wayaapamaassiinikwen,"s/he, they (obv.) must not be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(sing.) must not be seeing them(plur.)
104,waapamaassiipan,people did not see him/her,X→3s TA Independent Preterit,people did not see them(sing.)
105,waapamaassiipanek,people did not see them (anim.),X→3p TA Independent Preterit,people did not see them(plur.)
106,waapamaassiitok,people must not be seeing him/her,X→3s TA Independent Dubitative,people must not be seeing them(sing.)
107,waapamaassiitokenak,people must not be seeing them (anim.),X→3p TA Independent Dubitative,people must not be seeing them(plur.)
108,waapamaassiiwaakopanen,"they (anim.)must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.)must not have seen them(sing.)
109,waapamaassiiwaakopanen,"they (anim.)must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.)must not have seen them(plur.)
110,wayaapamaassiiwaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must not be seeing them(sing.)
111,wayaapamaassiiwaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must not be seeing them(plur.)
112,waapamaassiiwak,people do not see them (anim.),X→3p TA Independent Indicative,people do not see them(plur.)
113,wayaapamaassiiwaken,I must not be seeing him/her,1s→3s TA Conjunct Dubitative,I must not be seeing them(sing.)
114,waapamaassiiwakipanen,I must not have seen him/her,1s→3s TA Conjunct Dubitative Preterit,I must not have seen them(sing.)
115,waapamaassiiwakwaapanen,I must not have seen them (anim.),1s→3p TA Conjunct Dubitative Preterit,I must not have seen them(plur.)
116,wayaapamaassiiwakwaawen,I must not be seeing them (anim.),1s→3p TA Conjunct Dubitative,I must not be seeing them(plur.)
117,wayaapamaassiiwanken,we (incl.) must not be seeing him/her,21→3s TA Conjunct Dubitative,we must not be seeing them(sing.)
118,waapamaassiiwankipanen,we (incl.) must not have seen him/her,21→3s TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
119,wayaapamaassiiwankiten,we (excl.) must not be seeing him/her,1p→3s TA Conjunct Dubitative,we must not be seeing them(sing.)
120,waapamaassiiwankitipanen,we (excl.) must not have seen him/her,1p→3s TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
121,waapamaassiiwankitwaapanen,we (excl.) must not have seen them (anim.),1p→3p TA Conjunct Dubitative Preterit,we must not have seen them(plur.)
122,wayaapamaassiiwankitwaawen,we (excl.) must not be seeing them (anim.),1p→3p TA Conjunct Dubitative,we must not be seeing them(plur.)
123,waapamaassiiwankwaapanen,we (incl.) must not have seen them (anim.),21→3p TA Conjunct Dubitative Preterit,we must not have seen them(plur.)
124,wayaapamaassiiwankwaawen,we (incl.) must not be seeing them (anim.),21→3p TA Conjunct Dubitative,we must not be seeing them(plur.)
125,wayaapamaassiiwaten,you (sg.) must not be seeing him/her,2s→3s TA Conjunct Dubitative,you must not be seeing them(sing.)
126,V-a:ssi:watipanen,you (sg.) must not have seen him/her,2s→3s TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
127,waapamaassiiwatwaapanen,you (sg.) must not have seen them (anim.),2s→3p TA Conjunct Dubitative Preterit,you must not have seen them(plur.)
128,wayaapamaassiiwatwaawen,you (sg.) must not be seeing them (anim.),2s→3p TA Conjunct Dubitative,you must not be seeing them(plur.)
129,waapamaassiiwekipanen,you (pl.) must not have seen him/her,2p→3s TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
130,waapamaassiiwekwaapanen,you (pl.) must not have seen them (anim.),2p→3p TA Conjunct Dubitative Preterit,you must not have seen them(plur.)
131,wayaapamaassiiwekwaawen,you (pl.) must not be seeing them (anim.),2p→3p TA Conjunct Dubitative,you must not be seeing them(plur.)
132,wayaapamaassiiwekwen,you (pl.) must not be seeing him/her,2p→3s TA Conjunct Dubitative,you must not be seeing them(sing.)
133,wayaapamaassiiwinten,people must not be seeing him/her,X→3s TA Conjunct Dubitative,people must not be seeing them(sing.)
134,waapamaassiiwintipanen,people must not have seen him/her,X→3s TA Conjunct Dubitative Preterit,people must not have seen them(sing.)
135,waapamaassiiwintwaapanen,people must not have seen them (anim.),X→3p TA Conjunct Dubitative Preterit,people must not have seen them(plur.)
136,wayaapamaassiiwintwaawen,people must not be seeing them (anim.),X→3p TA Conjunct Dubitative,people must not be seeing them(plur.)
137,waapamaassik,"s/he does not see him/her, them (obv.)",3s→3' TA Conjunct Indicative,they(sing.) do not see them(sing.)
138,waapamaassik,"s/he does not see him/her, them (obv.)",3s→3' TA Conjunct Indicative,they(sing.) do not see them(plur.)
139,waapamaassikopan,"s/he did not see him/her, them (obv.)",3s→3' TA Conjunct Preterit,they(sing.) did not see them(sing.)
140,waapamaassikopan,"s/he did not see him/her, them (obv.)",3s→3' TA Conjunct Preterit,they(sing.) did not see them(plur.)
141,waapamaassikwaa,"they (anim.) do not see him/her, them (obv.)",3p→3' TA Conjunct Indicative,they(plur.) do not see them(sing.)
142,waapamaassikwaa,"they (anim.) do not see him/her, them (obv.)",3p→3' TA Conjunct Indicative,they(plur.) do not see them(plur.)
143,waapamaassikwaapan,"they (anim.) did not see him/her, them (obv.)",3p→3' TA Conjunct Preterit,they(plur.) did not see them(sing.)
144,waapamaassikwaapan,"they (anim.) did not see him/her, them (obv.)",3p→3' TA Conjunct Preterit,they(plur.) did not see them(plur.)
145,waapamaassinikopan,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(plur.) did not see them(sing.)
146,waapamaassinikopan,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(plur.) did not see them(plur.)
147,waapamaassinikopan,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(sing.) did not see them(sing.)
148,waapamaassinikopan,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(sing.) did not see them(plur.)
149,waapamaassinit,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(plur.) do not see them(sing.)
150,waapamaassinit,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(plur.) do not see them(plur.)
151,waapamaassinit,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(sing.) do not see them(sing.)
152,waapamaassinit,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(sing.) do not see them(plur.)
153,waapamaassiwaawaakopanen,"they (anim.) must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.) must not have seen them(sing.)
154,waapamaassiwaawaakopanen,"they (anim.) must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.) must not have seen them(plur.)
155,wayaapamaassiwaawaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must not be seeing them(sing.)
156,wayaapamaassiwaawaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must not be seeing them(plur.)
157,wayaapamaassiwaawaken,I must not be seeing him/her,1s→3s TA Conjunct Dubitative,I must not be seeing them(sing.)
158,waapamaassiwaawakipanen,I must not have seen him/her,1s→3s TA Conjunct Dubitative Preterit,I must not have seen them(sing.)
159,waapamaassiwaawakwaapanen,I must not have seen them (anim.),1s→3p TA Conjunct Dubitative Preterit,I must not have seen them(plur.)
160,wayaapamaassiwaawakwaawen,I must not be seeing them (anim.),1s→3p TA Conjunct Dubitative,I must not be seeing them(plur.)
161,wayaapamaassiwaawanken,we (incl.) must not be seeing him/her,21→3s TA Conjunct Dubitative,we must not be seeing them(sing.)
162,waapamaassiwaawankipanen,we (incl.) must not have seen him/her,21→3s TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
163,wayaapamaassiwaawankiten,we (excl.) must not be seeing him/her,1p→3s TA Conjunct Dubitative,we must not be seeing them(sing.)
164,waapamaassiwaawankitipanen,we (excl.) must not have seen him/her,1p→3s TA Conjunct Dubitative Preterit,we must not have seen them(sing.)
165,waapamaassiwaawankitwaapanen,we (excl.) must not have seen them (anim.),1p→3p TA Conjunct Dubitative Preterit,we must not have seen them(plur.)
166,wayaapamaassiwaawankitwaawen,we (excl.) must not be seeing them (anim.),1p→3p TA Conjunct Dubitative,we must not be seeing them(plur.)
167,waapamaassiwaawankwaapanen,we (incl.) must not have seen them (anim.),21→3p TA Conjunct Dubitative Preterit,we must not have seen them(plur.)
168,wayaapamaassiwaawankwaawen,we (incl.) must not be seeing them (anim.),21→3p TA Conjunct Dubitative,we must not be seeing them(plur.)
169,wayaapamaassiwaawaten,you (sg.) must not be seeing him/her,2s→3s TA Conjunct Dubitative,you must not be seeing them(sing.)
170,waapamaassiwaawatipanen,you (sg.) must not have seen him/her,2s→3s TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
171,waapamaassiwaawatwaapanen,you (sg.) must not have seen them (anim.),2s→3p TA Conjunct Dubitative Preterit,you must not have seen them(plur.)
172,wayaapamaassiwaawatwaawen,you (sg.) must not be seeing them (anim.),2s→3p TA Conjunct Dubitative,you must not be seeing them(plur.)
173,waapamaassiwaawekipanen,you (pl.) must not have seen him/her,2p→3s TA Conjunct Dubitative Preterit,you must not have seen them(sing.)
174,waapamaassiwaawekwaapanen,you (pl.) must not have seen them (anim.),2p→3p TA Conjunct Dubitative Preterit,you must not have seen them(plur.)
175,wayaapamaassiwaawekwaawen,you (pl.) must not be seeing them (anim.),2p→3p TA Conjunct Dubitative,you must not be seeing them(plur.)
176,wayaapamaassiwaawekwen,you (pl.) must not be seeing him/her,2p→3s TA Conjunct Dubitative,you must not be seeing them(sing.)
177,wayaapamaassiwaawinten,people must not be seeing him/her,X→3s TA Conjunct Dubitative,people must not be seeing them(sing.)
178,waapamaassiwaawintipanen,people must not have seen him/her,X→3s TA Conjunct Dubitative Preterit,people must not have seen them(sing.)
179,waapamaassiwaawintwaapanen,people must not have seen them (anim.),X→3p TA Conjunct Dubitative Preterit,people must not have seen them(plur.)
180,wayaapamaassiwaawintwaawen,people must not be seeing them (anim.),X→3p TA Conjunct Dubitative,people must not be seeing them(plur.)
181,waapamaassiwak,I do not see him/her,1s→3s TA Conjunct Indicative,I do not see them(sing.)
182,waapamaassiwakipan,I did not see him/her,1s→3s TA Conjunct Preterit,I did not see them(sing.)
183,waapamaassiwakwaa,I do not see them (anim.),1s→3p TA Conjunct Indicative,I do not see them(plur.)
184,waapamaassiwakwaapan,I did not see them (anim.),1s→3p TA Conjunct Preterit,I did not see them(plur.)
185,waapamaassiwank,we (incl.) do not see him/her,21→3s TA Conjunct Indicative,we do not see them(sing.)
186,waapamaassiwankipan,we (incl.) did not see him/her,21→3s TA Conjunct Preterit,we did not see them(sing.)
187,waapamaassiwankit,we (excl.) do not see him/her,1p→3s TA Conjunct Indicative,we do not see them(sing.)
188,waapamaassiwankitipan,we (excl.) did not see him/her,1p→3s TA Conjunct Preterit,we did not see them(sing.)
189,waapamaassiwankitwaa,we (excl.) do not see them (anim.),1p→3p TA Conjunct Indicative,we do not see them(plur.)
190,waapamaassiwankitwaapan,we (excl.) did not see them (anim.),1p→3p TA Conjunct Preterit,we did not see them(plur.)
191,waapamaassiwankwaa,we (incl.) do not see them (anim.),21→3p TA Conjunct Indicative,we do not see them(plur.)
192,waapamaassiwankwaapan,we (incl.) did not see them (anim.),21→3p TA Conjunct Preterit,we did not see them(plur.)
193,waapamaassiwat,you (sg.) do not see him/her,2s→3s TA Conjunct Indicative,you do not see them(sing.)
194,waapamaassiwatipan,you (sg.) did not see him/her,2s→3s TA Conjunct Preterit,you did not see them(sing.)
195,waapamaassiwatwaa,you (sg.) do not see them (anim.),2s→3p TA Conjunct Indicative,you do not see them(plur.)
196,waapamaassiwatwaapan,you (sg.) did not see them (anim.),2s→3p TA Conjunct Preterit,you did not see them(plur.)
197,waapamaassiwek,you (pl.) do not see him/her,2p→3s TA Conjunct Indicative,you do not see them(sing.)
198,waapamaassiwekipan,you (pl.) did not see him/her,2p→3s TA Conjunct Preterit,you did not see them(sing.)
199,waapamaassiwekwaa,you (pl.) do not see them (anim.),2p→3p TA Conjunct Indicative,you do not see them(plur.)
200,waapamaassiwint,people do not see him/her,X→3s TA Conjunct Indicative,people do not see them(sing.)
201,waapamaassiwintipan,people did not see him/her,X→3s TA Conjunct Preterit,people did not see them(sing.)
202,waapamaassiwintwaa,people do not see them (anim.),X→3p TA Conjunct Indicative,people do not see them(plur.)
203,waapamaassiwintwaapan,people did not see them (anim.),X→3p TA Conjunct Preterit,people did not see them(plur.)
204,waapamaat,"s/he sees him/her, them (obv.)",3s→3' TA Conjunct Indicative,they(sing.) see them(sing.)
205,waapamaat,"s/he sees him/her, them (obv.)",3s→3' TA Conjunct Indicative,they(sing.) see them(plur.)
206,waapamaatok,people must be seeing him/her,X→3s TA Independent Dubitative,people must be seeing them(sing.)
207,waapamaatokenak,people must be seeing them (anim.),X→3p TA Independent Dubitative,people must be seeing them(plur.)
208,waapamaawaakopanen,"they (anim.) must have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(sing.)
209,waapamaawaakopanen,"they (anim.) must have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(plur.)
210,wayaapamaawaakwen,"they (anim.) must be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must be seeing them(sing.)
211,wayaapamaawaakwen,"they (anim.) must be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must be seeing them(plur.)
212,waapamaawaappan,"they (anim.) saw him/her, them (obv.)",3p→3' TA Conjunct Preterit,they(plur.) saw them(sing.)
213,waapamaawaappan,"they (anim.) saw him/her, them (obv.)",3p→3' TA Conjunct Preterit,they(plur.) saw them(plur.)
214,waapamaawaat,"they (anim.) see him/her, them (obv.)",3p→3' TA Conjunct Indicative,they(plur.) see them(sing.)
215,waapamaawaat,"they (anim.) see him/her, them (obv.)",3p→3' TA Conjunct Indicative,they(plur.) see them(plur.)
216,waapamaawak,people see them (anim.),X→3p TA Independent Indicative,people see them(plur.)
217,wayaapamaawaken,I must be seeing him/her,1s→3s TA Conjunct Dubitative,I must be seeing them(sing.)
218,waapamaawakipanen,I must have seen him/her,1s→3s TA Conjunct Dubitative Preterit,I must have seen them(sing.)
219,waapamaawakwaapanen,I must have seen them (anim.),1s→3p TA Conjunct Dubitative Preterit,I must have seen them(plur.)
220,wayaapamaawakwaawen,I must be seeing them (anim.),1s→3p TA Conjunct Dubitative,I must be seeing them(plur.)
221,wayaapamaawanken,we (incl.) must be seeing him/her,21→3s TA Conjunct Dubitative,we must be seeing them(sing.)
222,waapamaawankipanen,we (incl.) must have seen him/her,21→3s TA Conjunct Dubitative Preterit,we must have seen them(sing.)
223,wayaapamaawankiten,we (excl.) must be seeing him/her,1p→3s TA Conjunct Dubitative,we must be seeing them(sing.)
224,waapamaawankitipanen,we (excl.) must have seen him/her,1p→3s TA Conjunct Dubitative Preterit,we must have seen them(sing.)
225,waapamaawankitwaapanen,we (excl.) must have seen them (anim.),1p→3p TA Conjunct Dubitative Preterit,we must have seen them(plur.)
226,wayaapamaawankitwaawen,we (excl.) must be seeing them (anim.),1p→3p TA Conjunct Dubitative,we must be seeing them(plur.)
227,waapamaawankwaapanen,we (incl.) must have seen them (anim.),21→3p TA Conjunct Dubitative Preterit,we must have seen them(plur.)
228,wayaapamaawankwaawen,we (incl.) must be seeing them (anim.),21→3p TA Conjunct Dubitative,we must be seeing them(plur.)
229,wayaapamaawaten,you (sg.) must be seeing him/her,2s→3s TA Conjunct Dubitative,you must be seeing them(sing.)
230,waapamaawatipanen,you (sg.) must have seen him/her,2s→3s TA Conjunct Dubitative Preterit,you must have seen them(sing.)
231,waapamaawatwaapanen,you (sg.) must have seen them (anim.),2s→3p TA Conjunct Dubitative Preterit,you must have seen them(plur.)
232,wayaapamaawatwaawen,you (sg.) must be seeing them (anim.),2s→3p TA Conjunct Dubitative,you must be seeing them(plur.)
233,waapamaawekipanen,you (pl.) must have seen him/her,2p→3s TA Conjunct Dubitative Preterit,you must have seen them(sing.)
234,waapamaawekwaapanen,you (pl.) must have seen them (anim.),2p→3p TA Conjunct Dubitative Preterit,you must have seen them(plur.)
235,wayaapamaawekwaawen,you (pl.) must be seeing them (anim.),2p→3p TA Conjunct Dubitative,you must be seeing them(plur.)
236,wayaapamaawekwen,you (pl.) must be seeing him/her,2p→3s TA Conjunct Dubitative,you must be seeing them(sing.)
237,wayaapamaawinten,people must be seeing him/her,X→3s TA Conjunct Dubitative,people must be seeing them(sing.)
238,waapamaawintipanen,people must have seen him/her,X→3s TA Conjunct Dubitative Preterit,people must have seen them(sing.)
239,waapamaawintwaapanen,people must have seen them (anim.),X→3p TA Conjunct Dubitative Preterit,people must have seen them(plur.)
240,wayaapamaawintwaawen,people must be seeing them (anim.),X→3p TA Conjunct Dubitative,people must be seeing them(plur.)
241,waapamak,I see him/her,1s→3s TA Conjunct Indicative,I see them(sing.)
242,waapamakipan,I saw him/her,1s→3s TA Conjunct Preterit,I saw them(sing.)
243,waapamakwaa,I see them (anim.),1s→3p TA Conjunct Indicative,I see them(plur.)
