Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,"they(sing.) must have seen him/her, them (obv.)"
wayaapamaanikwen,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,"they(plur.) must be seeing him/her, them (obv.)"
wayaapamaanikwen,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,"they(sing.) must be seeing him/her, them (obv.)"
waapamaanippan,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Conjunct Preterit,"they(plur.) saw him/her, them (obv.)"
waapamaanippan,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Conjunct Preterit,"they(sing.) saw him/her, them (obv.)"
waapamaanit,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,"they(plur.) see him/her, them (obv.)"
waapamaanit,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,"they(sing.) see him/her, them (obv.)"
waapamaapan,people saw him/her,X→3s TA Independent Preterit,people saw him/her
waapamaapanek,people saw them (anim.),X→3p TA Independent Preterit,people saw them
waapamaappan,"s/he saw him/her, them (obv.)",3s→3' TA Conjunct Preterit,"s/he saw him/her, them"
waapamaappan,"s/he saw him/her, them (obv.)",3s→3' TA Conjunct Preterit,"s/he saw him/her, them"
waapamaassiikopanen,"s/he must not have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,"s/he must not have seen him/her, them"
waapamaassiikopanen,"s/he must not have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,"s/he must not have seen him/her, them"
wayaapamaassiikwen,"s/he must not be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,"s/he must not be seeing him/her, them"
wayaapamaassiikwen,"s/he must not be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,"s/he must not be seeing him/her, them"
waapamaassiin,people do not see him/her,X→3s TA Independent Indicative,people do not see him/her
waapamaassiinikopanen,"s/he, they (obv.) must not have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,"they(plur.) must not have seen him/her, them (obv.)"
waapamaassiinikopanen,"s/he, they (obv.) must not have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,"they(sing.) must not have seen him/her, them (obv.)"
wayaapamaassiinikwen,"s/he, they (obv.) must not be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,"they(plur.) must not be seeing him/her, them (obv.)"
wayaapamaassiinikwen,"s/he, they (obv.) must not be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,"they(sing.) must not be seeing him/her, them (obv.)"
waapamaassiipan,people did not see him/her,X→3s TA Independent Preterit,people did not see him/her
waapamaassiipanek,people did not see them (anim.),X→3p TA Independent Preterit,people did not see them
waapamaassiitok,people must not be seeing him/her,X→3s TA Independent Dubitative,people must not be seeing him/her
waapamaassiitokenak,people must not be seeing them (anim.),X→3p TA Independent Dubitative,people must not be seeing them
waapamaassiiwaakopanen,"they (anim.)must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,"they(plur.)must not have seen him/her, them (obv.)"
waapamaassiiwaakopanen,"they (anim.)must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,"must not have seen him/her, them (obv.)"
wayaapamaassiiwaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,"they(plur.) must not be seeing him/her, them (obv.)"
wayaapamaassiiwaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative," must not be seeing him/her, them (obv.)"
waapamaassiiwak,people do not see them (anim.),X→3p TA Independent Indicative,people do not see them
wayaapamaassiiwaken,I must not be seeing him/her,1s→3s TA Conjunct Dubitative,I must not be seeing him/her
waapamaassiiwakipanen,I must not have seen him/her,1s→3s TA Conjunct Dubitative Preterit,I must not have seen him/her
waapamaassiiwakwaapanen,I must not have seen them (anim.),1s→3p TA Conjunct Dubitative Preterit,I must not have seen them
wayaapamaassiiwakwaawen,I must not be seeing them (anim.),1s→3p TA Conjunct Dubitative,I must not be seeing them
wayaapamaassiiwanken,we (incl.) must not be seeing him/her,21→3s TA Conjunct Dubitative,we must not be seeing him/her
waapamaassiiwankipanen,we (incl.) must not have seen him/her,21→3s TA Conjunct Dubitative Preterit,we must not have seen him/her
wayaapamaassiiwankiten,we (excl.) must not be seeing him/her,1p→3s TA Conjunct Dubitative,we must not be seeing him/her
waapamaassiiwankitipanen,we (excl.) must not have seen him/her,1p→3s TA Conjunct Dubitative Preterit,we must not have seen him/her
waapamaassiiwankitwaapanen,we (excl.) must not have seen them (anim.),1p→3p TA Conjunct Dubitative Preterit,we must not have seen them (anim.)
wayaapamaassiiwankitwaawen,we (excl.) must not be seeing them (anim.),1p→3p TA Conjunct Dubitative,we must not be seeing them (anim.)
waapamaassiiwankwaapanen,we (incl.) must not have seen them (anim.),21→3p TA Conjunct Dubitative Preterit,we must not have seen them (anim.)
wayaapamaassiiwankwaawen,we (incl.) must not be seeing them (anim.),21→3p TA Conjunct Dubitative,we must not be seeing them (anim.)
wayaapamaassiiwaten,you (sg.) must not be seeing him/her,2s→3s TA Conjunct Dubitative,you must not be seeing him/her
V-a:ssi:watipanen,you (sg.) must not have seen him/her,2s→3s TA Conjunct Dubitative Preterit,you must not have seen him/her
waapamaassiiwatwaapanen,you (sg.) must not have seen them (anim.),2s→3p TA Conjunct Dubitative Preterit,you must not have seen them (anim.)
wayaapamaassiiwatwaawen,you (sg.) must not be seeing them (anim.),2s→3p TA Conjunct Dubitative,you must not be seeing them (anim.)
waapamaassiiwekipanen,you (pl.) must not have seen him/her,2p→3s TA Conjunct Dubitative Preterit,you must not have seen him/her
waapamaassiiwekwaapanen,you (pl.) must not have seen them (anim.),2p→3p TA Conjunct Dubitative Preterit,you must not have seen them (anim.)
wayaapamaassiiwekwaawen,you (pl.) must not be seeing them (anim.),2p→3p TA Conjunct Dubitative,you must not be seeing them (anim.)
wayaapamaassiiwekwen,you (pl.) must not be seeing him/her,2p→3s TA Conjunct Dubitative,you must not be seeing him/her
wayaapamaassiiwinten,people must not be seeing him/her,X→3s TA Conjunct Dubitative,people must not be seeing him/her
waapamaassiiwintipanen,people must not have seen him/her,X→3s TA Conjunct Dubitative Preterit,people must not have seen him/her
waapamaassiiwintwaapanen,people must not have seen them (anim.),X→3p TA Conjunct Dubitative Preterit,people must not have seen them
wayaapamaassiiwintwaawen,people must not be seeing them (anim.),X→3p TA Conjunct Dubitative,people must not be seeing them
waapamaassik,"s/he does not see him/her, them (obv.)",3s→3' TA Conjunct Indicative,"s/he does not see him/her, them"
waapamaassik,"s/he does not see him/her, them (obv.)",3s→3' TA Conjunct Indicative,"s/he does not see him/her, them"
waapamaassikopan,"s/he did not see him/her, them (obv.)",3s→3' TA Conjunct Preterit,"s/he did not see him/her, them"
waapamaassikopan,"s/he did not see him/her, them (obv.)",3s→3' TA Conjunct Preterit,"s/he did not see him/her, them"
waapamaassikwaa,"they (anim.) do not see him/her, them (obv.)",3p→3' TA Conjunct Indicative,"they(plur.) do not see him/her, them (obv.)"
waapamaassikwaa,"they (anim.) do not see him/her, them (obv.)",3p→3' TA Conjunct Indicative," do not see him/her, them (obv.)"
waapamaassikwaapan,"they (anim.) did not see him/her, them (obv.)",3p→3' TA Conjunct Preterit,"they(plur.) did not see him/her, them (obv.)"
waapamaassikwaapan,"they (anim.) did not see him/her, them (obv.)",3p→3' TA Conjunct Preterit," did not see him/her, them (obv.)"
waapamaassinikopan,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Conjunct Preterit,"they(plur.) did not see him/her, them (obv.)"
waapamaassinikopan,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Conjunct Preterit,"they(sing.) did not see him/her, them (obv.)"
waapamaassinit,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,"they(plur.) do not see him/her, them (obv.)"
waapamaassinit,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,"they(sing.) do not see him/her, them (obv.)"
waapamaassiwaawaakopanen,"they (anim.) must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,"they(plur.) must not have seen him/her, them (obv.)"
waapamaassiwaawaakopanen,"they (anim.) must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit," must not have seen him/her, them (obv.)"
wayaapamaassiwaawaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,"they(plur.) must not be seeing him/her, them (obv.)"
wayaapamaassiwaawaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative," must not be seeing him/her, them (obv.)"
wayaapamaassiwaawaken,I must not be seeing him/her,1s→3s TA Conjunct Dubitative,I must not be seeing him/her
waapamaassiwaawakipanen,I must not have seen him/her,1s→3s TA Conjunct Dubitative Preterit,I must not have seen him/her
waapamaassiwaawakwaapanen,I must not have seen them (anim.),1s→3p TA Conjunct Dubitative Preterit,I must not have seen them
wayaapamaassiwaawakwaawen,I must not be seeing them (anim.),1s→3p TA Conjunct Dubitative,I must not be seeing them
wayaapamaassiwaawanken,we (incl.) must not be seeing him/her,21→3s TA Conjunct Dubitative,we must not be seeing him/her
waapamaassiwaawankipanen,we (incl.) must not have seen him/her,21→3s TA Conjunct Dubitative Preterit,we must not have seen him/her
wayaapamaassiwaawankiten,we (excl.) must not be seeing him/her,1p→3s TA Conjunct Dubitative,we must not be seeing him/her
waapamaassiwaawankitipanen,we (excl.) must not have seen him/her,1p→3s TA Conjunct Dubitative Preterit,we must not have seen him/her
waapamaassiwaawankitwaapanen,we (excl.) must not have seen them (anim.),1p→3p TA Conjunct Dubitative Preterit,we must not have seen them (anim.)
wayaapamaassiwaawankitwaawen,we (excl.) must not be seeing them (anim.),1p→3p TA Conjunct Dubitative,we must not be seeing them (anim.)
waapamaassiwaawankwaapanen,we (incl.) must not have seen them (anim.),21→3p TA Conjunct Dubitative Preterit,we must not have seen them (anim.)
wayaapamaassiwaawankwaawen,we (incl.) must not be seeing them (anim.),21→3p TA Conjunct Dubitative,we must not be seeing them (anim.)
wayaapamaassiwaawaten,you (sg.) must not be seeing him/her,2s→3s TA Conjunct Dubitative,you must not be seeing him/her
waapamaassiwaawatipanen,you (sg.) must not have seen him/her,2s→3s TA Conjunct Dubitative Preterit,you must not have seen him/her
waapamaassiwaawatwaapanen,you (sg.) must not have seen them (anim.),2s→3p TA Conjunct Dubitative Preterit,you must not have seen them (anim.)
wayaapamaassiwaawatwaawen,you (sg.) must not be seeing them (anim.),2s→3p TA Conjunct Dubitative,you must not be seeing them (anim.)
waapamaassiwaawekipanen,you (pl.) must not have seen him/her,2p→3s TA Conjunct Dubitative Preterit,you must not have seen him/her
waapamaassiwaawekwaapanen,you (pl.) must not have seen them (anim.),2p→3p TA Conjunct Dubitative Preterit,you must not have seen them (anim.)
wayaapamaassiwaawekwaawen,you (pl.) must not be seeing them (anim.),2p→3p TA Conjunct Dubitative,you must not be seeing them (anim.)
wayaapamaassiwaawekwen,you (pl.) must not be seeing him/her,2p→3s TA Conjunct Dubitative,you must not be seeing him/her
wayaapamaassiwaawinten,people must not be seeing him/her,X→3s TA Conjunct Dubitative,people must not be seeing him/her
waapamaassiwaawintipanen,people must not have seen him/her,X→3s TA Conjunct Dubitative Preterit,people must not have seen him/her
waapamaassiwaawintwaapanen,people must not have seen them (anim.),X→3p TA Conjunct Dubitative Preterit,people must not have seen them
wayaapamaassiwaawintwaawen,people must not be seeing them (anim.),X→3p TA Conjunct Dubitative,people must not be seeing them
waapamaassiwak,I do not see him/her,1s→3s TA Conjunct Indicative,I do not see him/her
waapamaassiwakipan,I did not see him/her,1s→3s TA Conjunct Preterit,I did not see him/her
waapamaassiwakwaa,I do not see them (anim.),1s→3p TA Conjunct Indicative,I do not see them
waapamaassiwakwaapan,I did not see them (anim.),1s→3p TA Conjunct Preterit,I did not see them
waapamaassiwank,we (incl.) do not see him/her,21→3s TA Conjunct Indicative,we do not see him/her
waapamaassiwankipan,we (incl.) did not see him/her,21→3s TA Conjunct Preterit,we did not see him/her
waapamaassiwankit,we (excl.) do not see him/her,1p→3s TA Conjunct Indicative,we do not see him/her
waapamaassiwankitipan,we (excl.) did not see him/her,1p→3s TA Conjunct Preterit,we did not see him/her
waapamaassiwankitwaa,we (excl.) do not see them (anim.),1p→3p TA Conjunct Indicative,we do not see them (anim.)
waapamaassiwankitwaapan,we (excl.) did not see them (anim.),1p→3p TA Conjunct Preterit,we did not see them (anim.)
waapamaassiwankwaa,we (incl.) do not see them (anim.),21→3p TA Conjunct Indicative,we do not see them (anim.)
waapamaassiwankwaapan,we (incl.) did not see them (anim.),21→3p TA Conjunct Preterit,we did not see them (anim.)
waapamaassiwat,you (sg.) do not see him/her,2s→3s TA Conjunct Indicative,you do not see him/her
waapamaassiwatipan,you (sg.) did not see him/her,2s→3s TA Conjunct Preterit,you did not see him/her
waapamaassiwatwaa,you (sg.) do not see them (anim.),2s→3p TA Conjunct Indicative,you do not see them (anim.)
waapamaassiwatwaapan,you (sg.) did not see them (anim.),2s→3p TA Conjunct Preterit,you did not see them (anim.)
waapamaassiwek,you (pl.) do not see him/her,2p→3s TA Conjunct Indicative,you do not see him/her
waapamaassiwekipan,you (pl.) did not see him/her,2p→3s TA Conjunct Preterit,you did not see him/her
waapamaassiwekwaa,you (pl.) do not see them (anim.),2p→3p TA Conjunct Indicative,you do not see them (anim.)
waapamaassiwint,people do not see him/her,X→3s TA Conjunct Indicative,people do not see him/her
waapamaassiwintipan,people did not see him/her,X→3s TA Conjunct Preterit,people did not see him/her
waapamaassiwintwaa,people do not see them (anim.),X→3p TA Conjunct Indicative,people do not see them
waapamaassiwintwaapan,people did not see them (anim.),X→3p TA Conjunct Preterit,people did not see them
waapamaat,"s/he sees him/her, them (obv.)",3s→3' TA Conjunct Indicative,"s/he sees him/her, them"
waapamaat,"s/he sees him/her, them (obv.)",3s→3' TA Conjunct Indicative,"s/he sees him/her, them"
waapamaatok,people must be seeing him/her,X→3s TA Independent Dubitative,people must be seeing him/her
waapamaatokenak,people must be seeing them (anim.),X→3p TA Independent Dubitative,people must be seeing them
waapamaawaakopanen,"they (anim.) must have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,"they(plur.) must have seen him/her, them (obv.)"
waapamaawaakopanen,"they (anim.) must have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit," must have seen him/her, them (obv.)"
wayaapamaawaakwen,"they (anim.) must be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,"they(plur.) must be seeing him/her, them (obv.)"
wayaapamaawaakwen,"they (anim.) must be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative," must be seeing him/her, them (obv.)"
waapamaawaappan,"they (anim.) saw him/her, them (obv.)",3p→3' TA Conjunct Preterit,"they(plur.) saw him/her, them (obv.)"
waapamaawaappan,"they (anim.) saw him/her, them (obv.)",3p→3' TA Conjunct Preterit," saw him/her, them (obv.)"
waapamaawaat,"they (anim.) see him/her, them (obv.)",3p→3' TA Conjunct Indicative,"they(plur.) see him/her, them (obv.)"
waapamaawaat,"they (anim.) see him/her, them (obv.)",3p→3' TA Conjunct Indicative," see him/her, them (obv.)"
waapamaawak,people see them (anim.),X→3p TA Independent Indicative,people see them
wayaapamaawaken,I must be seeing him/her,1s→3s TA Conjunct Dubitative,I must be seeing him/her
waapamaawakipanen,I must have seen him/her,1s→3s TA Conjunct Dubitative Preterit,I must have seen him/her
waapamaawakwaapanen,I must have seen them (anim.),1s→3p TA Conjunct Dubitative Preterit,I must have seen them
wayaapamaawakwaawen,I must be seeing them (anim.),1s→3p TA Conjunct Dubitative,I must be seeing them
wayaapamaawanken,we (incl.) must be seeing him/her,21→3s TA Conjunct Dubitative,we must be seeing him/her
waapamaawankipanen,we (incl.) must have seen him/her,21→3s TA Conjunct Dubitative Preterit,we must have seen him/her
wayaapamaawankiten,we (excl.) must be seeing him/her,1p→3s TA Conjunct Dubitative,we must be seeing him/her
waapamaawankitipanen,we (excl.) must have seen him/her,1p→3s TA Conjunct Dubitative Preterit,we must have seen him/her
waapamaawankitwaapanen,we (excl.) must have seen them (anim.),1p→3p TA Conjunct Dubitative Preterit,we must have seen them (anim.)
wayaapamaawankitwaawen,we (excl.) must be seeing them (anim.),1p→3p TA Conjunct Dubitative,we must be seeing them (anim.)
waapamaawankwaapanen,we (incl.) must have seen them (anim.),21→3p TA Conjunct Dubitative Preterit,we must have seen them (anim.)
wayaapamaawankwaawen,we (incl.) must be seeing them (anim.),21→3p TA Conjunct Dubitative,we must be seeing them (anim.)
wayaapamaawaten,you (sg.) must be seeing him/her,2s→3s TA Conjunct Dubitative,you must be seeing him/her
waapamaawatipanen,you (sg.) must have seen him/her,2s→3s TA Conjunct Dubitative Preterit,you must have seen him/her
waapamaawatwaapanen,you (sg.) must have seen them (anim.),2s→3p TA Conjunct Dubitative Preterit,you must have seen them (anim.)
wayaapamaawatwaawen,you (sg.) must be seeing them (anim.),2s→3p TA Conjunct Dubitative,you must be seeing them (anim.)
waapamaawekipanen,you (pl.) must have seen him/her,2p→3s TA Conjunct Dubitative Preterit,you must have seen him/her
waapamaawekwaapanen,you (pl.) must have seen them (anim.),2p→3p TA Conjunct Dubitative Preterit,you must have seen them (anim.)
wayaapamaawekwaawen,you (pl.) must be seeing them (anim.),2p→3p TA Conjunct Dubitative,you must be seeing them (anim.)
wayaapamaawekwen,you (pl.) must be seeing him/her,2p→3s TA Conjunct Dubitative,you must be seeing him/her
wayaapamaawinten,people must be seeing him/her,X→3s TA Conjunct Dubitative,people must be seeing him/her
waapamaawintipanen,people must have seen him/her,X→3s TA Conjunct Dubitative Preterit,people must have seen him/her
waapamaawintwaapanen,people must have seen them (anim.),X→3p TA Conjunct Dubitative Preterit,people must have seen them
wayaapamaawintwaawen,people must be seeing them (anim.),X→3p TA Conjunct Dubitative,people must be seeing them
waapamak,I see him/her,1s→3s TA Conjunct Indicative,I see him/her
waapamakipan,I saw him/her,1s→3s TA Conjunct Preterit,I saw him/her
waapamakwaa,I see them (anim.),1s→3p TA Conjunct Indicative,I see them
inentamaampaan,"I thought so of it, them (inan.)",1s→0 TI1 Conjunct Preterit,"I thought so of it, them"
inentamaampaan,"I thought so of it, them (inan.)",1s→0 TI1 Conjunct Preterit,"I thought so of it, them"
inentamaan,"I think so of it, them (inan.)",1s→0 TI1 Conjunct Indicative,"I think so of it, them"
inentamaan,"I think so of it, them (inan.)",1s→0 TI1 Conjunct Indicative,"I think so of it, them"
inentamaank,"we (excl.) think so of it, them (inan.)",1p→0 TI1 Conjunct Indicative,"we think so of it, them (inan.)"
inentamaank,"we (excl.) think so of it, them (inan.)",1p→0 TI1 Conjunct Indicative,"we think so of it, them (inan.)"
inentamaankipan,"we (excl.) thought so of it, them (inan.)",1p→0 TI1 Conjunct Preterit,"we thought so of it, them (inan.)"
inentamaankipan,"we (excl.) thought so of it, them (inan.)",1p→0 TI1 Conjunct Preterit,"we thought so of it, them (inan.)"
inentamampan,"you (sg.) thought so of it, them (inan.)",2s→0 TI1 Conjunct Preterit,"you thought so of it, them (inan.)"
inentamampan,"you (sg.) thought so of it, them (inan.)",2s→0 TI1 Conjunct Preterit,"you thought so of it, them (inan.)"
inentaman,"you (sg.) think so of it, them (inan.)",2s→0 TI1 Conjunct Indicative,"you think so of it, them (inan.)"
inentaman,"you (sg.) think so of it, them (inan.)",2s→0 TI1 Conjunct Indicative,"you think so of it, them (inan.)"
inentamank,"we (incl.) think so of it, them (inan.)",21→0 TI1 Conjunct Indicative,"we think so of it, them (inan.)"
inentamank,"we (incl.) think so of it, them (inan.)",21→0 TI1 Conjunct Indicative,"we think so of it, them (inan.)"
inentamankipan,"we (incl.) thought so of it, them (inan.)",21→0 TI1 Conjunct Preterit,"we thought so of it, them (inan.)"
inentamankipan,"we (incl.) thought so of it, them (inan.)",21→0 TI1 Conjunct Preterit,"we thought so of it, them (inan.)"
inentamek,"you (pl.) think so of it, them (inan.)",2p→0 TI1 Conjunct Indicative,"you think so of it, them (inan.)"
inentamek,"you (pl.) think so of it, them (inan.)",2p→0 TI1 Conjunct Indicative,"you think so of it, them (inan.)"
inentamekipan,"you (pl.) thought so of it, them (inan.)",2p→0 TI1 Conjunct Preterit,"you thought so of it, them (inan.)"
inentamekipan,"you (pl.) thought so of it, them (inan.)",2p→0 TI1 Conjunct Preterit,"you thought so of it, them (inan.)"
waapantaminikopan,"s/he, they (obv.) must have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,"they(plur.) must have seen it, them (inan.)"
waapantaminikopan,"s/he, they (obv.) must have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,"they(sing.) must have seen it, them (inan.)"
inentaminikopanen,"s/he, they (obv.) must have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,"they(plur.) must have thought so of it, them (inan.)"
inentaminikopanen,"s/he, they (obv.) must have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,"they(sing.) must have thought so of it, them (inan.)"
enentaminikwen,"s/he, they (obv.) must think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,"they(plur.) must think so of it, them (inan.)"
enentaminikwen,"s/he, they (obv.) must think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,"they(sing.) must think so of it, them (inan.)"
inentaminippan,"s/he, they (obv.) thought so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,"they(plur.) thought so of it, them (inan.)"
inentaminippan,"s/he, they (obv.) thought so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,"they(sing.) thought so of it, them (inan.)"
